田馥甄	墨绿的夜	1334296166	0
田馥甄	自己的房间	1302090508	15145
田馥甄	爱了很久的朋友	547976490	165980
田馥甄	美女与野兽	459275100	5004
田馥甄	日常	417953660	3795
田馥甄	人间烟火	417953661	2110
田馥甄	无用	417953662	2494
田馥甄	身体都知道	417953663	1666
田馥甄	念念有词	417953664	1515
田馥甄	灵魂伴侣	417953665	14202
田馥甄	余波荡漾	417953666	3430
田馥甄	什么，哪里	417953667	1307
田馥甄	慢舞	417953668	1223
田馥甄	独善其身	417953669	4855
田馥甄	小幸运	33206214	69125
田馥甄	热情	28935298	2823
田馥甄	渺小	27968284	5171
田馥甄	矛盾	28038058	3100
田馥甄	终身大事	28038060	2302
田馥甄	不醉不会	28018072	8703
田馥甄	你快乐未必我快乐	28038061	1137
田馥甄	这个人已经与我无关	28038062	7259
田馥甄	你就不要想起我	28018075	168470
田馥甄	无常	28038059	2835
田馥甄	爱着爱着就永远	28038055	9341
田馥甄	口袋的温度	28038057	1196
田馥甄	乌托邦	296832	1036
田馥甄	要说什么	296833	1029
田馥甄	My Love	296834	6347
田馥甄	请你给我好一点的情敌	296835	1990
田馥甄	还是要幸福	296836	11117
田馥甄	魔鬼中的天使	296837	37747
田馥甄	无事生非	296838	1496
田馥甄	花花世界	296839	1958
田馥甄	影子的影子	296840	1037
田馥甄	你	296841	3578
田馥甄	To Hebe	296874	2593
田馥甄	离岛	296877	1194
田馥甄	没有管理员的公寓	296879	1042
田馥甄	我对不起我	296881	2609
田馥甄	我想我不会爱你	296883	4466
田馥甄	寂寞寂寞就好	296885	16276
田馥甄	你太猖狂	296888	4361
田馥甄	超级玛丽	296891	1050
田馥甄	给小孩	296894	1587
田馥甄	Love!	296897	1947
